about n,Date,WorkoutLabel,SetID,Exercise,Weight_kg,Reps,NoteA,NoteB
W20251003,03/10/2025,,1,Bench Press (Barbell),50,9,Working,
W20251003,03/10/2025,,2,Bench Press (Barbell),50,10,Working,
W20251003,03/10/2025,,3,Bench Press (Barbell),55,6,Working,
W20251003,03/10/2025,,4,Bench Press (Barbell),55,5,Working,
W20251003,03/10/2025,,5,Bench Press (Barbell),60,2,Working,
W20251003,03/10/2025,,6,Overhead Press (Seated Barbell),35,7,Working,
W20251003,03/10/2025,,7,Overhead Press (Seated Barbell),35,6,Working,
W20251003,03/10/2025,,8,Overhead Press (Seated Barbell),35,7,Working,
W20251003,03/10/2025,,9,Overhead Press (Seated Barbell),35,5,Working,
W20251003,03/10/2025,,12,Pull-Up (Weighted),5,4,Working,Added weight (kg)
W20251003,03/10/2025,,13,Pull-Up (Weighted),5,4,Working,Added weight (kg)
W20251003,03/10/2025,,14,Pull-Up (Weighted),5,7,Working,Added weight (kg)
W20251009,09/10/2025,,1,Squat (Barbell),65,12,Working,
W20251009,09/10/2025,,2,Squat (Barbell),80,6,Working,
W20251009,09/10/2025,,3,Squat (Barbell),90,3,Working,
W20251009,09/10/2025,,4,Squat (Barbell),90,3,Working,
W20251009,09/10/2025,,5,Deadlift (Hex),120,10,Working,
W20251009,09/10/2025,,6,Deadlift (Hex),140,4,Working,
W20251009,09/10/2025,,7,Deadlift (Hex),140,5,Working,
W20251009,09/10/2025,,8,Bench Press (Barbell),50,12,Working,Rails
W20251009,09/10/2025,,9,Bench Press (Barbell),70,5,Working,Rails
W20251009,09/10/2025,,10,Bench Press (Barbell),70,6,Working,Rails
W20251013,13/10/2025,,1,Bench Press (Barbell),50,9,Working,
W20251013,13/10/2025,,2,Bench Press (Barbell),55,5,Working,
W20251013,13/10/2025,,3,Bench Press (Barbell),55,7,Working,
W20251013,13/10/2025,,4,Bench Press (Barbell),60,4,Working,
W20251013,13/10/2025,,5,Overhead Press (Seated Barbell),40,1,Working,
W20251013,13/10/2025,,6,Overhead Press (Seated Barbell),35,7,Working,
W20251013,13/10/2025,,7,Overhead Press (Seated Barbell),35,5,Working,
W20251013,13/10/2025,,8,Pull-Up (Weighted),5,5,Working,"Added weight (kg) Written ""4.5"""
W20251013,13/10/2025,,9,Pull-Up (Weighted),5,4,Working,Added weight (kg)
